Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
8.9352,0,29.85,0.243,
8.9369,0,29.85,0.243,
8.9386,0,29.85,0.243,
8.9403,0,29.85,0.243,
8.942,0,29.85,0.243,
8.9437,0,29.85,0.243,
8.9454,0,29.85,0.243,
8.9471,0,29.85,0.243,
8.9488,0,29.85,0.243,
8.9505,0,29.85,0.243,
8.9522,0,29.85,0.243,
8.9539,0,29.85,0.243,
8.9556,0,29.85,0.243,
8.9573,0,29.85,0.243,
8.959,0,29.85,0.243,
8.9607,0,29.85,0.243,
8.9624,0,29.85,0.243,
8.9641,0,29.85,0.243,
8.9658,0,29.85,0.243,
8.9675,0,29.85,0.243,
8.9692,0,29.85,0.243,
8.9709,0,29.85,0.243,
8.9726,0,29.85,0.243,
8.9743,0,29.85,0.243,
8.976,0,29.85,0.243,
8.9777,0,29.85,0.243,
8.9794,0,29.85,0.243,
8.9811,0,29.85,0.243,
8.9828,0,29.85,0.243,
8.9845,0,29.85,0.243,
8.9862,0,29.85,0.243,
8.9879,0,29.85,0.243,
8.9896,0,29.85,0.243,
8.9913,0,29.85,0.243,
8.993,0,29.85,0.243,
8.9947,0,29.85,0.243,
8.9964,0,29.85,0.243,
8.9981,0,29.85,0.243,
8.9998,0,29.85,0.243,
9.0015,0,29.85,0.243,
9.0032,0,29.85,0.243,
9.0049,0,29.85,0.243,
9.0066,0,29.85,0.243,
9.0083,0,29.85,0.243,
9.01,0,29.85,0.243,
9.0117,0,29.85,0.243,
9.0134,0,29.85,0.243,
9.0151,0,29.85,0.243,
9.0168,0,29.85,0.243,
9.0185,0,29.85,0.243,
9.0202,0,29.85,0.243,
9.0219,0,29.85,0.243,
9.0236,0,29.85,0.243,
9.0253,0,29.85,0.243,
9.027,0,29.85,0.243,
9.0287,0,29.85,0.243,
9.0304,0,29.85,0.243,
9.0321,0,29.85,0.243,
9.0338,0,29.85,0.243,
9.0355,0,29.85,0.243,
9.0372,0,29.85,0.243,
9.0389,0,29.85,0.243,
